product_name,unit,final_price,marked_price,product_url,scrape_timestamp,run_id
CLOSEUP KDR WhiteNow BlueSapphire 100g,Tuýp,45000.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839134068_1-20241104031352-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
CLOSEUP KDR WhiteNow khoáng tự nhiên100g,Tuýp,45000.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839134075_1-20241104031233-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng P/S bảo vệ 123 baking soda & hương thảo hộp 230g,Tuýp,48200.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839128142_1-20241104030337-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng P/S muối hồng và hoa cúc 230g,Tuýp,48200.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839128081_1-20241104031010-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Dầu Gội Tresemme Keratin Smooth vào nếp mượt mà chai 480g,Chai,167000.0,,https://s3-hcmc02.higiocloud.vn/images/2023/04/8934868167938-20230425044955-thumb-1.png,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Dầu gội Tresemme Keratin vào nếp suôn mượt chai 640g,Chai,226800.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934868153283_1-20241104030057-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Dầu gội Tresemme ngăn gãy rụng Salon Rebond chai 640g,Chai,226800.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934868179245_1-20241104030619-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Bàn chải đánh răng Closeup Precision lông chải siêu mềm,Cái,37500.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839133689_1-20241104033747-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng Closeup Diamond Attraction trắng răng 100g,Tuýp,38300.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839121037_1-20241104025747-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Bộ đôi nước súc miệng diệt khuẩn Listerine Cool Mint 750ml,Bộ,227300.0,,https://s3-hcmc02.higiocloud.vn/images/2023/07/listerine-20230704083611-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Xịt nước hoa toàn thân AXE cho nam Gold temptation chai 135ml,Chai,82900.0,,https://s3-hcmc02.higiocloud.vn/images/2023/04/8999999572716_1-20230424024309-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng P/S Baking Soda 180g (Tặng KDR Chăm sóc nướu 30g),Tuýp,33600.0,,https://s3-hcmc02.higiocloud.vn/images/2025/01/hi-guideline-3-baking-soda-180g-20250105090523-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Xà phòng sạch khuẩn Aiken Protection 90g,Chai,12300.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/frame-2-10--20241105034042-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Xà phòng sạch khuẩn Aiken Revitalise 90g,Chai,12300.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/10170553-20241105025528-thumb-1.png,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Nước súc miệng Mondahmin PeperMint 300ml,Chai,58000.0,,https://s3-hcmc02.higiocloud.vn/images/2023/03/nuoc-suc-mieng-mondahmin-pepermint-300ml-20230324160300-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Dầu gội Clear 9 thảo dược cổ truyền 630g,Chai,205000.0,,https://s3-hcmc02.higiocloud.vn/images/2023/04/8934868170556_1-20230424025452-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Bộ 2 bàn chải đánh răng than hoạt tính P/S Charcoal (Giao màu ngẫu nhiên),Bộ,59000.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839127954_1-20241113063004-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Sữa rửa mặt đất sét trắng Senka Perfect Whiteclay 120g,Tuýp,59000.0,,https://s3-hcmc02.higiocloud.vn/images/2022/10230785_perfect-white-clay-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Bàn chải đánh răng Colgate siêu mềm,Cái,55000.0,,https://s3-hcmc02.higiocloud.vn/images/2025/08/10236299-0-20250812032330-thumb-1.png,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Dầu gội Clear Men Cool Sport bạc hà sạch gàu 630g,Chai,196000.0,,https://s3-hcmc02.higiocloud.vn/images/2022/10601173-thumb-1.png,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Nước rửa tay Lifebuoy bảo vệ vượt trội 10 chai 500g,Chai,76600.0,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng Closeup than hoạt tính detox trắng răng 230g,Hộp,50100.0,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng Closeup muối biển detox trắng răng 180g,Hộp,42300.0,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Miếng dán lột mụn mũi Biore hộp 4 miếng,Hộp,25600.0,,"data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///yH5BAEAAAAALAAAAAABAAEAAAIBRAA7","1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Nước rửa tay Lifebuoy bảo vệ vượt trội 10 chai 500g,Chai,76600.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/10602563-jpg-20241117095525-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng Closeup than hoạt tính detox trắng răng 230g,Hộp,50100.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839128692_1-20241104032910-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Kem đánh răng Closeup muối biển detox trắng răng 180g,Hộp,42300.0,,https://s3-hcmc02.higiocloud.vn/images/2024/11/8934839128708_1-20241104034649-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
Miếng dán lột mụn mũi Biore hộp 4 miếng,Hộp,25600.0,,https://s3-hcmc02.higiocloud.vn/images/2022/9606865715230-og-thumb-1.jpg,"1/22/2026, 2:00:07 PM",90244626-0927-43c2-bc3b-184748927afc
