date,"Củ, Quả",Rau Lá,Trái cây tươi
2025-12-18,1.0,1.0,1.0
2025-12-19,0.9847668180506712,0.9756877843601132,0.9974862785817231
2025-12-20,0.9847668180506712,0.9756877843601132,0.9932094009114111
2025-12-22,0.9835289003241805,0.9756877843601132,0.9902062483115994
2025-12-23,0.9672373202394696,0.9386369518437925,0.9902062483115994
2025-12-24,0.9672373202394696,0.9386369518437925,0.9914411908999176
2025-12-25,0.9672373202394696,0.9386369518437925,0.9937600474648992
2025-12-26,0.9672373202394696,0.9386369518437925,0.9866636608747865
2025-12-27,0.9576620918516145,0.9386369518437925,0.9807720305093656
2025-12-28,0.9576620918516145,0.9386369518437925,0.9807720305093656
2025-12-29,0.9576620918516145,0.9386369518437925,0.9885964413899405
2025-12-30,0.9383701845914454,0.8846719654362347,0.9885964413899405
2025-12-31,0.9396990026723779,0.8846719654362347,0.9547424711913316
2026-01-02,0.9396990026723779,0.8846719654362347,0.956733132322133
2026-01-03,0.9396990026723779,0.8846719654362347,0.9574868510381122
2026-01-04,0.9396990026723779,0.8846719654362347,0.9574868510381122
2026-01-05,0.9396990026723779,0.8846719654362347,0.9574868510381122
2026-01-06,0.9410544515076712,0.8733480859154479,0.9537574267161417
2026-01-07,0.9410544515076712,0.8733480859154479,0.9499110813840066
2026-01-08,0.9410544515076712,0.8733480859154479,0.9362350246305002
2026-01-09,0.9410544515076712,0.8733480859154479,0.9321430909278179
2026-01-10,0.9410544515076712,0.8733480859154479,0.9281625778786561
2026-01-11,0.9410544515076712,0.8733480859154479,0.9281625778786561
2026-01-12,0.9410544515076712,0.8733480859154479,0.9281625778786561
2026-01-13,0.9375151832007449,0.8499724331039059,0.9331141467998195
2026-01-14,0.9375151832007449,0.8499724331039059,0.9331141467998195
2026-01-15,0.9375151832007449,0.8544389424559469,0.9313581269257256
2026-01-16,0.9375151832007449,0.8544389424559469,0.9352996778453814
2026-01-17,0.9375151832007449,0.8544389424559469,0.9352996778453814
2026-01-18,0.9375151832007449,0.8544389424559469,0.9247892917248511
2026-01-20,0.9386392020563649,0.8344075197873515,0.9263244066350442
2026-01-21,0.9373649393499515,0.8344075197873515,0.9044201764663006
2026-01-22,0.9386392020563649,0.8344075197873515,0.936090617710788
2026-01-23,0.9386392020563649,0.8344075197873515,0.9292350817466912
2026-01-24,0.9386392020563649,0.8344075197873515,0.9292350817466912
2026-01-25,0.9386392020563649,0.8344075197873515,0.9283970680810354
2026-01-26,0.9386392020563649,0.8344075197873515,0.933398965506631
2026-01-27,0.9386392020563649,0.8538203015465645,0.933398965506631
2026-01-28,0.9386392020563649,0.8538203015465645,0.933398965506631
2026-01-29,0.9386392020563649,0.8538203015465645,0.926408301737381
2026-01-30,0.9365211081539062,0.8538203015465645,0.924107615961678
2026-01-30,0.9365211081539062,0.8538203015465645,0.924107615961678
2026-01-31,0.929753677387329,0.8538203015465645,0.9225766020151567
2026-02-01,0.929753677387329,0.8538203015465645,0.9224551272848942
2026-02-02,0.929753677387329,0.8538203015465645,0.9224551272848942
2026-02-03,0.9096500122741413,0.8101957141546772,0.9206470019666091
2026-02-04,0.8897299383394849,0.8101957141546772,0.9523878143536975
2026-02-05,0.8897299383394849,0.8101957141546772,0.9447822573490378
2026-02-06,0.8897299383394849,0.8101957141546772,0.9439687754323355
2026-02-07,0.8862942449329,0.8101957141546772,0.9423415059398458
