product_name,unit,subcategory,parent_category,avg_final_price,avg_marked_price,days_observed,promo_rate,avg_discount_depth,price_volatility,n_price_changes,max_daily_jump_pct,ever_promoted,always_promoted,marked_price_changes,promo_streak_max,promo_streak_avg,marked_price_increased,brand_name,brand_quadrant,is_premium,is_high_recognition
Bơ lạt Anchor gói 227g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,124789.23076923077,137500.0,65,0.5538461538461539,0.16690909090909092,0.09719203365409766,3,0.25685557586837304,1,0,1,18,18.0,0,Anchor,niche_professional,1,0
Bơ lạt Paysan Breton hộp 250g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,174000.0,174000.0,46,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Paysan Breton,niche_professional,1,0
Bơ lạt Presiden hộp 250g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,181000.0,181000.0,51,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0
Bơ lạt Westgold 250g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,121623.5294117647,123000.0,51,0.058823529411764705,0.19024390243902442,0.04572033576275346,2,0.19024390243902434,1,0,1,3,3.0,0,Westgold,niche_professional,1,0
Bơ lạt tự nhiên TH TRUE BUTTER 10g*10gói,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,37563.82978723404,39000.0,47,0.3191489361702128,0.11538461538461539,0.056446292731622,2,0.13043478260869557,1,0,1,15,15.0,0,,,0,0
Bơ lạt tự nhiên TH True milk 200g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,73008.77192982456,77000.0,57,0.43859649122807015,0.11818181818181818,0.06239932635364564,2,0.134020618556701,1,0,1,13,12.5,0,TH True Milk,prestige_leader,1,1
Bơ mặn Paysan Breton hộp 250g,Hộp,Bơ Sữa - Phô Mai,Sữa Tươi,174000.0,174000.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Paysan Breton,niche_professional,1,0
Bơ mặn President gói 125g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,84500.0,84500.0,51,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0
Bơ mặn Président gói 200g,Miếng,Bơ Sữa - Phô Mai,Sữa Tươi,135000.0,135000.0,50,0.0,,0.0,1,0.0,0,0,1,0,0.0,0,Président,niche_professional,1,0
Bơ mặn Westgold 250g,Gói,Bơ Sữa - Phô Mai,Sữa Tươi,121623.5294117647,123000.0,51,0.058823529411764705,0.19024390243902442,0.04572033576275346,2,0.19024390243902434,1,0,1,3,3.0,0,Westgold,niche_professional,1,0
