date,Gạo - Nông Sản Khô,Ngũ Cốc - Yến Mạch,Rong Biển - Tảo Biển,Bột Các Loại,Thực Phẩm Đóng Hộp,Thực Phẩm Chay
2025-12-18,1.0,1.0,1.0,1.0,1.0,1.0
2025-12-19,1.0,1.0,1.0,1.0,0.9916437960367168,1.0
2025-12-20,1.0,1.0,1.0,1.0,0.9916437960367168,1.0
2025-12-22,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
2025-12-23,1.0,1.0,1.0,1.0,0.9999999999999999,1.0
2025-12-24,1.0,1.0,1.0,1.0,1.0079341120031495,1.0
2025-12-25,1.0,1.0,1.0,1.0,1.0079341120031495,1.0
2025-12-26,1.0,1.0,1.0,1.0,1.0079341120031495,1.0
2025-12-27,1.0,1.0,1.0,1.0,0.9991471885571525,1.0
2025-12-28,1.0,1.0,1.0,1.0,0.9991471885571525,1.0
2025-12-29,1.0,1.0,1.0,1.0,0.9991471885571525,1.0
2025-12-31,1.0,1.0,1.0,1.0,0.9991471885571525,1.0
2026-01-01,1.0,1.0,1.0,1.0175434779169066,1.009484121813984,1.0
2026-01-02,1.0,1.0,1.0,1.0175434779169066,1.0181632466883503,1.0
2026-01-03,1.0,1.0,1.0,1.0175434779169066,1.0181632466883503,1.0
2026-01-04,1.0,1.0,1.0,1.0175434779169066,1.0181632466883503,1.0
2026-01-05,1.0,1.0,1.0,1.0175434779169066,1.0181632466883503,1.0
2026-01-06,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-07,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-08,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-09,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-10,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-11,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-12,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-13,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-14,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-15,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-16,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-17,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-18,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-19,0.9225091917303292,0.8759885134931268,0.9815525806887307,1.0347152191015687,0.9459951458976859,1.0
2026-01-20,0.8538593266473303,0.7685808699308984,0.88055978919227,0.9257711382899557,0.9241224134016958,1.0
2026-01-21,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9756363602227139,1.0
2026-01-22,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9756363602227139,1.0
2026-01-23,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9617640085803203,1.0
2026-01-24,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9617640085803203,1.0
2026-01-25,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9617640085803203,1.0
2026-01-26,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9739939887937178,1.0
2026-01-27,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9739939887937178,1.0
2026-01-28,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9739939887937178,1.0
2026-01-29,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9739939887937178,1.0
2026-01-30,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.965712124431081,1.0
2026-01-31,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.965712124431081,1.0
2026-02-01,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9640806823740676,1.0
2026-02-02,0.8538593266473303,0.8187219520932284,0.88055978919227,0.9257711382899557,0.9640806823740676,1.0
2026-02-03,0.8538593266473303,0.8187219520932284,0.882302038833931,0.9141657718904844,0.9492886026100716,1.0
2026-02-04,0.8538593266473303,0.8187219520932284,0.882302038833931,0.9141657718904844,0.9492886026100716,1.0
2026-02-05,0.8538593266473303,0.8187219520932284,0.882302038833931,0.9141657718904844,0.9492886026100716,1.0
2026-02-06,0.8538593266473303,0.8187219520932284,0.882302038833931,0.9141657718904844,0.9386962571668059,1.0
2026-02-07,0.8538593266473303,0.8187219520932284,0.882302038833931,0.9141657718904844,0.9386962571668059,1.0
